Support Tickets Ticket ID,Support Tickets Created Date,Support Tickets Closed Date,Support Tickets Days Creation to Solved,Support Tickets Csat Rating Score,Incident Tag,Severity,Support Team,Plan Type,,,,,,,,,,,,,,,,,,,,,,,,,,,
1075933,2022-04-08,,,,incident-350,incident-sev-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1057683,2022-03-24,2022-04-08,7 days,offered,incident-339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1057681,2022-03-24,2022-04-08,7 days,offered,incident-339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1057687,2022-03-24,2022-04-08,7 days,offered,incident-339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1057693,2022-03-24,2022-04-08,7 days,offered,incident-339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1057696,2022-03-24,2022-04-08,7 days,offered,incident-339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1057692,2022-03-24,2022-04-08,7 days,offered,incident-339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1057697,2022-03-24,2022-04-08,7 days,offered,incident-339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1057685,2022-03-24,2022-04-08,7 days,good,incident-339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1057701,2022-03-24,2022-04-08,7 days,offered,incident-339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1057702,2022-03-24,2022-04-08,7 days,offered,incident-339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1057682,2022-03-24,2022-04-08,7 days,offered,incident-339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1057698,2022-03-24,2022-04-08,7 days,offered,incident-339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1057690,2022-03-24,2022-04-08,7 days,offered,incident-339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1057684,2022-03-24,2022-04-08,7 days,offered,incident-339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1057695,2022-03-24,2022-04-08,7 days,offered,incident-339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1057675,2022-03-24,2022-04-08,7 days,offered,incident-339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1057686,2022-03-24,2022-04-08,7 days,offered,incident-339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1057694,2022-03-24,2022-04-08,7 days,offered,incident-339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1057700,2022-03-24,2022-04-08,7 days,offered,incident-339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1057688,2022-03-24,2022-04-08,7 days,offered,incident-339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1057699,2022-03-24,2022-04-08,7 days,offered,incident-339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1057680,2022-03-24,2022-04-08,7 days,offered,incident-339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1057689,2022-03-24,2022-04-08,7 days,offered,incident-339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1056176,2022-03-24,2022-04-07,7 days,offered,incident-332-manual,team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055855,2022-03-23,2022-04-07,7 days,offered,incident-332-manual, ,paid,starter, ,,,,,,,,,,,,,,,,,,,,,,,,,,
1055707,2022-03-23,2022-04-06,7 days,offered,incident-332-manual, ,paid,starter, ,,,,,,,,,,,,,,,,,,,,,,,,,,
1055723,2022-03-23,2022-04-06,7 days,offered,incident-332-manual, ,paid,professional-plus, ,,,,,,,,,,,,,,,,,,,,,,,,,,
1055429,2022-03-23,2022-04-06,7 days,offered,incident-332-manual, ,paid,pro, ,,,,,,,,,,,,,,,,,,,,,,,,,,
1055335,2022-03-23,2022-04-06,7 days,offered,incident-332-manual, ,paid,pro, ,,,,,,,,,,,,,,,,,,,,,,,,,,
1055993,2022-03-23,2022-04-07,7 days,offered,incident-332-manual, ,paid,pro, ,,,,,,,,,,,,,,,,,,,,,,,,,,
1055980,2022-03-23,2022-04-07,7 days,offered,incident-332-manual, ,paid,pro, ,,,,,,,,,,,,,,,,,,,,,,,,,,
1055699,2022-03-23,2022-04-06,7 days,offered,incident-332-manual, ,paid,pro, ,,,,,,,,,,,,,,,,,,,,,,,,,,
1055908,2022-03-23,2022-04-07,7 days,offered,incident-332-manual, ,paid,pro, ,,,,,,,,,,,,,,,,,,,,,,,,,,
1055433,2022-03-23,2022-04-06,6 days,good,incident-332-manual, ,paid,premium-domain,team, ,,,,,,,,,,,,,,,,,,,,,,,,,
1056014,2022-03-23,2022-04-07,7 days,offered,incident-332-manual, ,paid,premium-domain,starter, ,,,,,,,,,,,,,,,,,,,,,,,,,
1056168,2022-03-24,2022-04-07,7 days,offered,incident-332-manual, ,paid,premium-domain,starter, ,,,,,,,,,,,,,,,,,,,,,,,,,
1055878,2022-03-23,2022-04-07,7 days,offered,incident-332-manual, ,paid,premium-domain,starter, ,,,,,,,,,,,,,,,,,,,,,,,,,
1055985,2022-03-23,2022-04-07,7 days,offered,incident-332-manual, ,paid,premium-domain,starter, ,,,,,,,,,,,,,,,,,,,,,,,,,
1055295,2022-03-23,2022-04-06,7 days,offered,incident-332-manual, ,paid,premium-domain,starter, ,,,,,,,,,,,,,,,,,,,,,,,,,
1055850,2022-03-23,2022-04-07,7 days,offered,incident-332-manual, ,paid,premium-domain,starter, ,,,,,,,,,,,,,,,,,,,,,,,,,
1055919,2022-03-23,2022-04-07,7 days,offered,incident-332-manual, ,paid,premium-domain,starter, ,,,,,,,,,,,,,,,,,,,,,,,,,
1055729,2022-03-23,2022-04-06,7 days,offered,incident-332-manual, ,paid,premium-domain,starter, ,,,,,,,,,,,,,,,,,,,,,,,,,
1055999,2022-03-23,2022-04-07,7 days,offered,incident-332-manual, ,paid,premium-domain,starter, ,,,,,,,,,,,,,,,,,,,,,,,,,
1056200,2022-03-24,2022-04-07,7 days,offered,incident-332-manual, ,paid,premium-domain,starter, ,,,,,,,,,,,,,,,,,,,,,,,,,
1055695,2022-03-23,2022-04-06,7 days,offered,incident-332-manual, ,paid,premium-domain,starter, ,,,,,,,,,,,,,,,,,,,,,,,,,
1056221,2022-03-24,2022-04-07,7 days,offered,incident-332-manual, ,paid,premium-domain,starter, ,,,,,,,,,,,,,,,,,,,,,,,,,
1055579,2022-03-23,2022-04-06,7 days,offered,incident-332-manual, ,paid,premium-domain,starter, ,,,,,,,,,,,,,,,,,,,,,,,,,
1055339,2022-03-23,2022-04-06,7 days,offered,incident-332-manual, ,paid,premium-domain,starter, ,,,,,,,,,,,,,,,,,,,,,,,,,
1056078,2022-03-23,2022-04-07,7 days,offered,incident-332-manual, ,paid,premium-domain,starter, ,,,,,,,,,,,,,,,,,,,,,,,,,
1055954,2022-03-23,2022-04-07,7 days,offered,incident-332-manual, ,paid,premium-domain,starter, ,,,,,,,,,,,,,,,,,,,,,,,,,
1056023,2022-03-23,2022-04-07,7 days,offered,incident-332-manual, ,paid,premium-domain,starter, ,,,,,,,,,,,,,,,,,,,,,,,,,
1055661,2022-03-23,2022-04-06,7 days,offered,incident-332-manual, ,paid,premium-domain,starter, ,,,,,,,,,,,,,,,,,,,,,,,,,
1055970,2022-03-23,2022-04-07,7 days,offered,incident-332-manual, ,paid,premium-domain,starter, ,,,,,,,,,,,,,,,,,,,,,,,,,
1056086,2022-03-23,2022-04-07,7 days,offered,incident-332-manual, ,paid,premium-domain,starter, ,,,,,,,,,,,,,,,,,,,,,,,,,
1055728,2022-03-23,2022-04-06,7 days,offered,incident-332-manual, ,paid,premium-domain,starter, ,,,,,,,,,,,,,,,,,,,,,,,,,
1055637,2022-03-23,2022-04-06,7 days,offered,incident-332-manual, ,paid,premium-domain,starter, ,,,,,,,,,,,,,,,,,,,,,,,,,
1056183,2022-03-24,2022-04-07,7 days,offered,incident-332-manual, ,paid,premium-domain,starter, ,,,,,,,,,,,,,,,,,,,,,,,,,
1055992,2022-03-23,2022-04-07,7 days,offered,incident-332-manual, ,paid,premium-domain,starter, ,,,,,,,,,,,,,,,,,,,,,,,,,
1055869,2022-03-23,2022-04-07,7 days,offered,incident-332-manual, ,paid,premium-domain,professional-plus, ,,,,,,,,,,,,,,,,,,,,,,,,,
1055136,2022-03-23,2022-04-06,7 days,offered,incident-332-manual, ,paid,premium-domain,professional-plus, ,,,,,,,,,,,,,,,,,,,,,,,,,
1056171,2022-03-24,2022-04-07,7 days,offered,incident-332-manual, ,paid,premium-domain,professional, ,,,,,,,,,,,,,,,,,,,,,,,,,
1055636,2022-03-23,2022-04-06,7 days,offered,incident-332-manual, ,paid,premium-domain,professional, ,,,,,,,,,,,,,,,,,,,,,,,,,
1055875,2022-03-23,2022-04-07,7 days,offered,incident-332-manual, ,paid,premium-domain,professional, ,,,,,,,,,,,,,,,,,,,,,,,,,
1056189,2022-03-24,2022-04-07,7 days,offered,incident-332-manual, ,paid,premium-domain,professional, ,,,,,,,,,,,,,,,,,,,,,,,,,
1055725,2022-03-23,2022-04-06,7 days,offered,incident-332-manual, ,paid,premium-domain,pro, ,,,,,,,,,,,,,,,,,,,,,,,,,
1055520,2022-03-23,2022-04-06,7 days,offered,incident-332-manual, ,paid,premium-domain,pro, ,,,,,,,,,,,,,,,,,,,,,,,,,
1055639,2022-03-23,2022-04-06,7 days,offered,incident-332-manual, ,paid,premium-domain,pro, ,,,,,,,,,,,,,,,,,,,,,,,,,
1055307,2022-03-23,2022-04-06,7 days,offered,incident-332-manual, ,paid,premium-domain,pro, ,,,,,,,,,,,,,,,,,,,,,,,,,
1055312,2022-03-23,2022-04-06,7 days,offered,incident-332-manual, ,paid,premium-domain,pro, ,,,,,,,,,,,,,,,,,,,,,,,,,
1055329,2022-03-23,2022-04-06,7 days,offered,incident-332-manual, ,paid,premium-domain,pro, ,,,,,,,,,,,,,,,,,,,,,,,,,
1055692,2022-03-23,2022-04-06,7 days,offered,incident-332-manual, ,paid,premium-domain,pro, ,,,,,,,,,,,,,,,,,,,,,,,,,
1055460,2022-03-23,2022-04-06,7 days,offered,incident-332-manual, ,paid,premium-domain,pro, ,,,,,,,,,,,,,,,,,,,,,,,,,
1055840,2022-03-23,2022-04-07,7 days,offered,incident-332-manual, ,paid,premium-domain,pro, ,,,,,,,,,,,,,,,,,,,,,,,,,
1055319,2022-03-23,2022-04-06,7 days,offered,incident-332-manual, ,paid,premium-domain,pro, ,,,,,,,,,,,,,,,,,,,,,,,,,
1055141,2022-03-23,2022-04-06,7 days,offered,incident-332-manual, ,paid,premium-domain,pro, ,,,,,,,,,,,,,,,,,,,,,,,,,
1056201,2022-03-24,2022-04-07,7 days,offered,incident-332-manual, ,paid,premium-domain,pro, ,,,,,,,,,,,,,,,,,,,,,,,,,
1056204,2022-03-24,2022-04-07,7 days,offered,incident-332-manual, ,paid,premium-domain,pro, ,,,,,,,,,,,,,,,,,,,,,,,,,
1055684,2022-03-23,2022-04-06,7 days,offered,incident-332-manual, ,paid,premium-domain,pro, ,,,,,,,,,,,,,,,,,,,,,,,,,
1055459,2022-03-23,2022-04-06,7 days,offered,incident-332-manual, ,paid,premium-domain,pro, ,,,,,,,,,,,,,,,,,,,,,,,,,
1055178,2022-03-23,2022-04-06,7 days,offered,incident-332-manual, ,paid,premium-domain,pro, ,,,,,,,,,,,,,,,,,,,,,,,,,
1056208,2022-03-24,2022-04-07,7 days,offered,incident-332-manual, ,paid,premium-domain,pro, ,,,,,,,,,,,,,,,,,,,,,,,,,
1055972,2022-03-23,2022-04-07,7 days,offered,incident-332-manual, ,paid,premium-domain,pro, ,,,,,,,,,,,,,,,,,,,,,,,,,
1055235,2022-03-23,2022-04-06,7 days,offered,incident-332-manual, ,paid,premium-domain,pro, ,,,,,,,,,,,,,,,,,,,,,,,,,
1055922,2022-03-23,2022-04-07,7 days,offered,incident-332-manual, ,paid,premium-domain,pro, ,,,,,,,,,,,,,,,,,,,,,,,,,
1056001,2022-03-23,2022-04-07,7 days,offered,incident-332-manual, ,paid,premium-domain,pro, ,,,,,,,,,,,,,,,,,,,,,,,,,
1055896,2022-03-23,2022-04-07,7 days,offered,incident-332-manual, ,paid,premium-domain,pro, ,,,,,,,,,,,,,,,,,,,,,,,,,
1055144,2022-03-23,2022-04-06,7 days,offered,incident-332-manual, ,paid,premium-domain,pro, ,,,,,,,,,,,,,,,,,,,,,,,,,
1055882,2022-03-23,2022-04-07,7 days,offered,incident-332-manual, ,paid,premium-domain,pro, ,,,,,,,,,,,,,,,,,,,,,,,,,
