Support Tickets Ticket ID,Support Tickets Created Date, , , , , 
1075933,2022-04-08, ,incident-350,incident-sev-3, , 
1057683,2022-03-24,2022-04-08,incident-339, , , 
1057681,2022-03-24,2022-04-08,incident-339, , , 
1057687,2022-03-24,2022-04-08,incident-339, , , 
1057693,2022-03-24,2022-04-08,incident-339, , , 
1057696,2022-03-24,2022-04-08,incident-339, , , 
1057692,2022-03-24,2022-04-08,incident-339, , , 
1057697,2022-03-24,2022-04-08,incident-339, , , 
1057685,2022-03-24,2022-04-08,incident-339, , , 
1057701,2022-03-24,2022-04-08,incident-339, , , 
1057702,2022-03-24,2022-04-08,incident-339, , , 
1057682,2022-03-24,2022-04-08,incident-339, , , 
1057698,2022-03-24,2022-04-08,incident-339, , , 
1057690,2022-03-24,2022-04-08,incident-339, , , 
1057684,2022-03-24,2022-04-08,incident-339, , , 
1057695,2022-03-24,2022-04-08,incident-339, , , 
1057675,2022-03-24,2022-04-08,incident-339, , , 
1057686,2022-03-24,2022-04-08,incident-339, , , 
1057694,2022-03-24,2022-04-08,incident-339, , , 
1057700,2022-03-24,2022-04-08,incident-339, , , 
1057688,2022-03-24,2022-04-08,incident-339, , , 
1057699,2022-03-24,2022-04-08,incident-339, , , 
1057680,2022-03-24,2022-04-08,incident-339, , , 
1057689,2022-03-24,2022-04-08,incident-339, , , 
1056176,2022-03-24,2022-04-07,incident-332-manual, ,team, 
1055855,2022-03-23,2022-04-07,incident-332-manual, ,starter,paid
1055707,2022-03-23,2022-04-06,incident-332-manual, ,starter,paid
1055723,2022-03-23,2022-04-06,incident-332-manual, ,professional-plus,paid
1055429,2022-03-23,2022-04-06,incident-332-manual, ,pro,paid
1055335,2022-03-23,2022-04-06,incident-332-manual, ,pro,paid
1055993,2022-03-23,2022-04-07,incident-332-manual, ,pro,paid
1055980,2022-03-23,2022-04-07,incident-332-manual, ,pro,paid
1055699,2022-03-23,2022-04-06,incident-332-manual, ,pro,paid
1055908,2022-03-23,2022-04-07,incident-332-manual, ,pro,paid
1055433,2022-03-23,2022-04-06,incident-332-manual, ,team,paid
1056014,2022-03-23,2022-04-07,incident-332-manual, ,starter,paid
1056168,2022-03-24,2022-04-07,incident-332-manual, ,starter,paid
1055878,2022-03-23,2022-04-07,incident-332-manual, ,starter,paid
1055985,2022-03-23,2022-04-07,incident-332-manual, ,starter,paid
1055295,2022-03-23,2022-04-06,incident-332-manual, ,starter,paid
1055850,2022-03-23,2022-04-07,incident-332-manual, ,starter,paid
1055919,2022-03-23,2022-04-07,incident-332-manual, ,starter,paid
1055729,2022-03-23,2022-04-06,incident-332-manual, ,starter,paid
1055999,2022-03-23,2022-04-07,incident-332-manual, ,starter,paid
1056200,2022-03-24,2022-04-07,incident-332-manual, ,starter,paid
1055695,2022-03-23,2022-04-06,incident-332-manual, ,starter,paid
1056221,2022-03-24,2022-04-07,incident-332-manual, ,starter,paid
1055579,2022-03-23,2022-04-06,incident-332-manual, ,starter,paid
1055339,2022-03-23,2022-04-06,incident-332-manual, ,starter,paid
1056078,2022-03-23,2022-04-07,incident-332-manual, ,starter,paid
1055954,2022-03-23,2022-04-07,incident-332-manual, ,starter,paid
1056023,2022-03-23,2022-04-07,incident-332-manual, ,starter,paid
1055661,2022-03-23,2022-04-06,incident-332-manual, ,starter,paid
1055970,2022-03-23,2022-04-07,incident-332-manual, ,starter,paid
1056086,2022-03-23,2022-04-07,incident-332-manual, ,starter,paid
1055728,2022-03-23,2022-04-06,incident-332-manual, ,starter,paid
1055637,2022-03-23,2022-04-06,incident-332-manual, ,starter,paid
1056183,2022-03-24,2022-04-07,incident-332-manual, ,starter,paid
1055992,2022-03-23,2022-04-07,incident-332-manual, ,starter,paid
1055869,2022-03-23,2022-04-07,incident-332-manual, ,professional-plus,paid
1055136,2022-03-23,2022-04-06,incident-332-manual, ,professional-plus,paid
1056171,2022-03-24,2022-04-07,incident-332-manual, ,professional,paid
1055636,2022-03-23,2022-04-06,incident-332-manual, ,professional,paid
1055875,2022-03-23,2022-04-07,incident-332-manual, ,professional,paid
1056189,2022-03-24,2022-04-07,incident-332-manual, ,professional,paid
1055725,2022-03-23,2022-04-06,incident-332-manual, ,pro,paid
1055520,2022-03-23,2022-04-06,incident-332-manual, ,pro,paid
1055639,2022-03-23,2022-04-06,incident-332-manual, ,pro,paid
1055307,2022-03-23,2022-04-06,incident-332-manual, ,pro,paid
1055312,2022-03-23,2022-04-06,incident-332-manual, ,pro,paid
1055329,2022-03-23,2022-04-06,incident-332-manual, ,pro,paid
1055692,2022-03-23,2022-04-06,incident-332-manual, ,pro,paid
1055460,2022-03-23,2022-04-06,incident-332-manual, ,pro,paid
1055840,2022-03-23,2022-04-07,incident-332-manual, ,pro,paid
1055319,2022-03-23,2022-04-06,incident-332-manual, ,pro,paid
1055141,2022-03-23,2022-04-06,incident-332-manual, ,pro,paid
1056201,2022-03-24,2022-04-07,incident-332-manual, ,pro,paid
1056204,2022-03-24,2022-04-07,incident-332-manual, ,pro,paid
1055684,2022-03-23,2022-04-06,incident-332-manual, ,pro,paid
1055459,2022-03-23,2022-04-06,incident-332-manual, ,pro,paid
1055178,2022-03-23,2022-04-06,incident-332-manual, ,pro,paid
1056208,2022-03-24,2022-04-07,incident-332-manual, ,pro,paid
1055972,2022-03-23,2022-04-07,incident-332-manual, ,pro,paid
1055235,2022-03-23,2022-04-06,incident-332-manual, ,pro,paid
1055922,2022-03-23,2022-04-07,incident-332-manual, ,pro,paid
1056001,2022-03-23,2022-04-07,incident-332-manual, ,pro,paid
1055896,2022-03-23,2022-04-07,incident-332-manual, ,pro,paid
1055144,2022-03-23,2022-04-06,incident-332-manual, ,pro,paid
1055882,2022-03-23,2022-04-07,incident-332-manual, ,pro,paid
1056158,2022-03-24,2022-04-07,incident-332-manual, ,pro,paid
1055072,2022-03-23,2022-04-06,incident-332-manual, ,pro,paid
1055581,2022-03-23,2022-04-06,incident-332-manual, ,pro,paid
1055909,2022-03-23,2022-04-07,incident-332-manual, ,pro,paid
1055848,2022-03-23,2022-04-07,incident-332-manual, ,pro,paid
1055184,2022-03-23,2022-04-06,incident-332-manual, ,pro,paid
1056194,2022-03-24,2022-04-07,incident-332-manual, ,pro,paid
1055929,2022-03-23,2022-04-07,incident-332-manual, ,pro,paid
1055928,2022-03-23,2022-04-07,incident-332-manual, ,pro,paid
1056227,2022-03-24,2022-04-07,incident-332-manual, ,pro,paid
1055938,2022-03-23,2022-04-07,incident-332-manual, ,pro,paid
1055679,2022-03-23,2022-04-06,incident-332-manual, ,pro,paid
1055324,2022-03-23,2022-04-06,incident-332-manual, ,pro,paid
1055693,2022-03-23,2022-04-06,incident-332-manual, ,pro,paid
1056211,2022-03-24,2022-04-07,incident-332-manual, ,pro,paid
1055491,2022-03-23,2022-04-06,incident-332-manual, ,pro,paid
1055965,2022-03-23,2022-04-07,incident-332-manual, ,pro,paid
1056045,2022-03-23,2022-04-07,incident-332-manual, ,pro,paid
1056205,2022-03-24,2022-04-07,incident-332-manual, ,pro,paid
1055442,2022-03-23,2022-04-06,incident-332-manual, ,pro,paid
1055948,2022-03-23,2022-04-07,incident-332-manual, ,pro,paid
1056070,2022-03-23,2022-04-07,incident-332-manual, ,pro,paid
1055535,2022-03-23,2022-04-06,incident-332-manual, ,pro,paid
1055904,2022-03-23,2022-04-07,incident-332-manual, ,pro,paid
1055818,2022-03-23,2022-04-06,incident-332-manual, ,pro,paid
1055587,2022-03-23,2022-04-06,incident-332-manual, ,pro,paid
1055192,2022-03-23,2022-04-06,incident-332-manual, ,pro,paid
1055746,2022-03-23,2022-04-06,incident-332-manual, ,pro,paid
1055694,2022-03-23,2022-04-06,incident-332-manual, ,pro,paid
1056037,2022-03-23,2022-04-07,incident-332-manual, ,pro,paid
1055643,2022-03-23,2022-04-06,incident-332-manual, ,pro,paid
1055100,2022-03-23,2022-04-06,incident-332-manual, ,pro,paid
1055412,2022-03-23,2022-04-06,incident-332-manual, ,pro,paid
1055937,2022-03-23,2022-04-07,incident-332-manual, ,pro,paid
1055467,2022-03-23,2022-04-06,incident-332-manual, ,starter,paid
1055104,2022-03-23,2022-04-06,incident-332-manual, ,no-plan, 
1055864,2022-03-23,2022-04-07,incident-332-manual, ,no-plan, 
1055543,2022-03-23,2022-04-06,incident-332-manual, , , 
1055504,2022-03-23,2022-04-06,incident-332-manual, , , 
1055564,2022-03-23,2022-04-06,incident-332-manual, , , 
1055550,2022-03-23,2022-04-06,incident-332-manual, , , 
1055499,2022-03-23,2022-04-06,incident-332-manual, , , 
